__record_tag_AMPP,APID,APPID,COMBPACKCD,DISCCD,DISCDT,INVALID_AMPP,LEGAL_CATCD,NM_AMPP,SUBP,VPPID,__record_tag_AMP,ABBREVNM,AVAIL_RESTRICTCD,COMBPRODCD,DESC,EMA,FLAVOURCD,INVALID_AMP,LIC_AUTHCD,LIC_AUTHCHANGECD,LIC_AUTHCHANGEDT,LIC_AUTH_PREVCD,NM_AMP,NMDT,NM_PREV,PARALLEL_IMPORT,SUPPCD,VPID,__record_tag,INVALID,NM,QTYVAL,QTY_UOMCD,__record_tag_VMP,ABBREVNM_VMP,BASISCD,BASIS_PREVCD,CFC_F,COMBPRODCD_VMP,DF_INDCD,GLU_F,INVALID_VMP,NM_VMP,NMCHANGECD,NMDT_VMP,NMPREV,NON_AVAILCD,NON_AVAILDT,PRES_F,PRES_STATCD,SUG_F,UDFS,UDFS_UOMCD,UNIT_DOSE_UOMCD,VPIDDT,VPIDPREV,VTMID,__record_tag_VTM,ABBREVNM_VTM,INVALID_VTM,NM_VTM,VTMIDDT,VTMIDPREV,AGGREGATED_INGREDIENTS,AGGREGATED_ROUTES,DOSE_FORM,SUPPLIER_NAME
AMPP,30669111000001107,30669311000001109,,,,,4,Sigvaris Essential Thermoregulating class 2 (23-32mmHg) thigh length closed toe with waist attachment lymphoedema garment long extra large left plus Black (Sigvaris Britain Ltd) 1 device,,33018311000001109,AMP,,1,,Sigvaris Essential Thermoregulating class 2 (23-32mmHg) thigh length closed toe with waist attachment lymphoedema garment long extra large left plus Black (Sigvaris Britain Ltd),,,,2,,,,Sigvaris Essential Thermoregulating class 2 (23-32mmHg) thigh length closed toe with waist attachment lymphoedema garment long extra large left plus,2020-01-01,Sigvaris Cotton class 2 (23-32mmHg) thigh length closed toe with waist attachment lymphoedema garment long extra large left plus,,10143211000001106,33508011000001106,VMPP,,Lymphoedema garments thigh length closed toe with waist/hip attachment 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments thigh length closed toe with waist/hip attachment,,,,,,,4,,,,,,,,,,,,,,,,,Sigvaris Britain Ltd
AMPP,28210611000001107,28210711000001103,,,,,4,Juzo Inspiration custom fit class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment Blueberry (Juzo UK Ltd) 1 device,,33015411000001107,AMP,,1,,Juzo Inspiration custom fit class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment Blueberry (Juzo UK Ltd),,,,2,,,,Juzo Inspiration custom fit class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment,2018-10-01,Juzo Attractive custom fit class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment,,11473311000001109,33506811000001101,VMPP,,Lymphoedema garments made to measure thigh length open toe with silicone top/band/border 1 device,1.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments made to measure thigh length open toe with silicone top/band/border,,,,,,,4,,,,,,,,,,,,,,,,,Juzo UK Ltd
AMPP,22225511000001101,22225611000001102,,1.0,2019-11-01,,3,Memantine 20mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets,2 x 14 tablets,13914211000001103,AMP,,9,,Memantine 20mg tablets (Teva UK Ltd),,,,1,,,,Memantine 20mg tablets,,,,3849901000001105,13939111000001104,VMPP,,Memantine 20mg tablets 28 tablet,28.0,428673006.0,VMP,,1,,,,1,,,Memantine 20mg tablets,,,,,,,1,,1.0,428673006.0,428673006.0,,,776669005.0,VTM,,,Memantine,2023-02-06,406457005.0,Memantine hydrochloride 20.0 nan,Oral,Oral tablet,Teva UK Ltd
AMPP,5917811000001103,5918011000001105,,1.0,2007-07-01,,4,Beta two piece ostomy system bag 32-294-16 (Mentor Medical Ltd) 90 device,,5654211000001103,AMP,,9,,Beta two piece ostomy system bag 32-294-16 (Mentor Medical Ltd),,,,2,,,,Beta two piece ostomy system bag,,,,3758201000001107,7300311000001101,VMPP,,Two piece ostomy systems 90 device,90.0,3318711000001107.0,VMP,,7,,,,3,,,Two piece ostomy systems,,,,,,,4,,,,,,,,,,,,,,,,,Mentor Medical Ltd
AMPP,9076911000001102,9115311000001106,,,,,4,Medisafe dressing 9cm x 25cm (Neomedic Ltd) 20 dressing,,9115211000001103,AMP,,1,,Medisafe dressing 9cm x 25cm (Neomedic Ltd),,,,2,,,,Medisafe dressing 9cm x 25cm,,,,4817011000001105,3118011000001103,VMPP,,Absorbent perforated dressing with adhesive border 9cm x 25cm 20 dressing,20.0,3320111000001103.0,VMP,,7,,,,3,,,Absorbent perforated dressing with adhesive border 9cm x 25cm,,,,,,,4,,,,,,,,,,,,,,,,,Neomedic Ltd
AMPP,319611000001104,1704911000001106,,,,,4,Nutrison Energy liquid (Nutricia Ltd) 500 ml 1 x 500ml pack,1 x 500ml pack,1183011000001104,AMP,,1,,Nutrison Energy liquid (Nutricia Ltd),,,,0,,,,Nutrison Energy liquid,,,,3515801000001108,3549211000001102,VMPP,,Generic Nutrison Energy liquid 500 ml,500.0,258773002.0,VMP,,7,,,,3,1.0,,Generic Nutrison Energy liquid,,,,,,,4,,,,,,,,,,,,,,,Gastroenteral,Gastroenteral liquid,Nutricia Ltd
AMPP,4767511000001101,4767611000001102,,1.0,2010-11-22,,3,Protirelin 200micrograms/2ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd) 10 ampoule,,4767211000001104,AMP,,9,,Protirelin 200micrograms/2ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd),,,,1,,,,Protirelin 200micrograms/2ml solution for injection ampoules,2004-06-09,Protirelin 100micrograms/ml injection 2ml ampoules,,2089901000001107,35933211000001103,VMPP,,Protirelin 200micrograms/2ml solution for injection ampoules 10 ampoule,10.0,413516001.0,VMP,,1,1.0,,,1,,,Protirelin 200micrograms/2ml solution for injection ampoules,4.0,2004-06-09,Protirelin 100micrograms/ml injection 2ml ampoules,1.0,2011-02-16,,1,,2.0,258773002.0,413516001.0,2018-10-22,326012002.0,777353000.0,VTM,,,Protirelin,2023-02-06,412496008.0,Protirelin 100.0 nan,Intravenous,Solution for injection,Alliance Healthcare (Distribution) Ltd
AMPP,37043111000001104,37043311000001102,,,,,4,SMA Little Steps First Infant milk powder (SMA Nutrition) 800 gram,,37042911000001108,AMP,,1,,SMA Little Steps First Infant milk powder (SMA Nutrition),,,,0,,,,SMA Little Steps First Infant milk powder,,,,3412801000001109,37075211000001108,VMPP,,Generic SMA Little Steps First Infant milk powder 800 gram,800.0,258682000.0,VMP,,7,,,,3,,,Generic SMA Little Steps First Infant milk powder,,,,,,,4,,,,,,,,,,,,,,,Oral,Oral powder,SMA Nutrition
AMPP,420811000001109,6391911000001109,,1.0,2016-10-01,,2,Ibuprofen 400mg tablets sugar coated (Kent Pharma (UK) Ltd) 48 tablet 4 x 12 tablets,4 x 12 tablets,1109111000001104,AMP,,9,,Ibuprofen 400mg tablets sugar coated (Kent Pharma (UK) Ltd),,,,1,,,,Ibuprofen 400mg tablets sugar coated,,,,2073701000001100,42104911000001104,VMPP,,Ibuprofen 400mg tablets 48 tablet,48.0,428673006.0,VMP,,1,,,,1,,,Ibuprofen 400mg tablets,,,,,,,1,,1.0,428673006.0,428673006.0,2023-07-28,329653008.0,776287003.0,VTM,,,Ibuprofen,2023-02-06,38268001.0,Ibuprofen 400.0 nan,Oral,Oral tablet,Kent Pharma (UK) Ltd
AMPP,26912111000001109,26912511000001100,,1.0,2018-06-01,,4,Haddenham Veni class 3 (34-46mmHg) below knee open toe lymphoedema garment extra wide long size V Pearl (Haddenham Healthcare Ltd) 2 device,,33002211000001100,AMP,,9,,Haddenham Veni class 3 (34-46mmHg) below knee open toe lymphoedema garment extra wide long size V Pearl (Haddenham Healthcare Ltd),,,,2,,,,Haddenham Veni class 3 (34-46mmHg) below knee open toe lymphoedema garment extra wide long size V,,,,14063811000001106,33502211000001103,VMPP,,Lymphoedema garments below knee open toe 2 device,2.0,3318711000001107.0,VMP,,7,,,,3,,,Lymphoedema garments below knee open toe,,,,,,,4,,,,,,,,,,,,,,,,,Haddenham Healthcare Ltd
